,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
67,Reinforce.jl,JuliaML/Reinforce.jl,ml-frameworks,https://github.com/JuliaML/Reinforce.jl,https://github.com/JuliaML/Reinforce.jl,,2016-07-25 13:34:25,2021-05-03 02:10:26,2021-05-03 02:10:23,36.0,8.0,14.0,186,140.0,2020-11-17 10:26:40,0.4.0,,,5.0,"Abstractions, algorithms, and utilities for reinforcement learning in Julia.",,,16.0,12,False,3,,,
68,AutoGrad.jl,denizyuret/AutoGrad.jl,ml-frameworks,https://github.com/denizyuret/AutoGrad.jl,https://github.com/denizyuret/AutoGrad.jl,,2016-08-08 20:24:26,2021-02-06 12:02:48,2021-02-06 12:02:43,22.0,18.0,50.0,149,480.0,2020-12-26 22:17:41,1.2.4,,,20.0,Julia port of the Python autograd package.,,,16.0,12,False,3,,,
69,DiffEqBayes.jl,SciML/DiffEqBayes.jl,ml-frameworks,https://github.com/SciML/DiffEqBayes.jl,https://github.com/SciML/DiffEqBayes.jl,,2017-07-24 00:13:20,2021-07-12 13:52:49,2021-07-12 13:22:05,19.0,8.0,49.0,96,588.0,2021-07-12 13:39:21,2.26.0,,,49.0,"Extension functionality which uses Stan.jl, DynamicHMC.jl, and Turing.jl to estimate the parameters to differential..",,,18.0,12,False,3,,,
70,GLMNet.jl,JuliaStats/GLMNet.jl,probabilistics,https://github.com/JuliaStats/GLMNet.jl,https://github.com/JuliaStats/GLMNet.jl,,2013-11-19 04:41:43,2021-05-03 13:04:44,2021-05-03 12:48:32,25.0,5.0,20.0,80,107.0,2021-05-03 13:04:45,0.6.3,,,12.0,Julia wrapper for fitting Lasso/ElasticNet GLM models using glmnet.,,,13.0,12,False,3,,,
71,CausalInference.jl,mschauer/CausalInference.jl,ml-frameworks,https://github.com/mschauer/CausalInference.jl,https://github.com/mschauer/CausalInference.jl,,2017-08-01 11:52:26,2021-06-29 09:32:30,2021-06-29 09:30:16,17.0,6.0,9.0,70,228.0,2021-05-03 05:51:43,0.5.7,,,10.0,"Causal inference, graphical models and structure learning with the PC algorithm.",,,6.0,12,False,3,,,
72,NMF.jl,JuliaStats/NMF.jl,ml-frameworks,https://github.com/JuliaStats/NMF.jl,https://github.com/JuliaStats/NMF.jl,,2014-02-08 15:25:09,2021-07-18 03:01:30,2021-07-18 03:01:30,29.0,3.0,27.0,68,93.0,2021-04-20 22:02:17,0.5.3,,,8.0,A Julia package for non-negative matrix factorization.,,,12.0,12,False,3,,,
73,JLBoost.jl,xiaodaigh/JLBoost.jl,ml-frameworks,https://github.com/xiaodaigh/JLBoost.jl,https://github.com/xiaodaigh/JLBoost.jl,MIT,2018-09-27 06:29:18,2021-04-26 03:27:37,2021-04-26 03:27:32,3.0,14.0,8.0,62,160.0,2020-11-28 11:08:40,0.1.16,,,17.0,A 100%-Julia implementation of Gradient-Boosting Regression Tree algorithms.,,,4.0,12,False,3,,,
74,GaussianMixtures.jl,davidavdav/GaussianMixtures.jl,probabilistics,https://github.com/davidavdav/GaussianMixtures.jl,https://github.com/davidavdav/GaussianMixtures.jl,,2013-12-04 12:10:37,2021-07-08 18:28:04,2021-01-05 10:57:43,27.0,9.0,25.0,60,413.0,2021-01-05 11:52:22,0.3.4,,,5.0,Large scale Gaussian Mixture Models.,,,20.0,12,False,3,,,
75,bat,bat/bat,ml-frameworks,https://github.com/bat/bat,https://github.com/bat/bat,,2014-03-17 15:00:24,2021-02-26 21:31:49,2021-02-26 21:31:16,33.0,41.0,169.0,57,796.0,2018-05-18 21:05:57,1.0.0,5461.0,64.0,9.0,Bayesian analysis toolkit http://mpp.mpg.de/bat.,,,14.0,12,False,3,,,
76,AtomicGraphNets.jl,aced-differentiate/AtomicGraphNets.jl,ml-frameworks,https://github.com/Chemellia/AtomicGraphNets.jl,https://github.com/Chemellia/AtomicGraphNets.jl,MIT,2020-04-01 21:13:23,2021-07-15 00:36:03,2021-07-14 17:49:23,6.0,13.0,14.0,30,,2021-07-15 00:36:04,0.1.4,,,6.0,Atomic graph models for molecules and crystals in Julia.,,,7.0,12,False,3,,Chemellia/AtomicGraphNets.jl,
77,Fairness.jl,ashryaagr/Fairness.jl,interpretability,https://github.com/ashryaagr/Fairness.jl,https://github.com/ashryaagr/Fairness.jl,MIT,2020-05-21 18:10:23,2021-06-28 14:23:52,2021-06-28 13:41:27,9.0,7.0,1.0,20,143.0,2021-06-28 14:18:21,0.3.2,,,8.0,Julia Toolkit with fairness metrics and bias mitigation algorithms.,,,8.0,12,False,1,,,
78,AdaGram.jl,sbos/AdaGram.jl,nlp,https://github.com/sbos/AdaGram.jl,https://github.com/sbos/AdaGram.jl,MIT,2015-03-01 19:58:59,2019-11-20 03:48:04,2019-11-20 03:39:12,40.0,14.0,18.0,160,116.0,,,,,,Adaptive Skip-gram implementation in Julia.,,,8.0,11,False,2,,,
79,Torch.jl,FluxML/Torch.jl,ml-frameworks,https://github.com/FluxML/Torch.jl,https://github.com/FluxML/Torch.jl,,2020-02-04 09:11:22,2021-07-05 00:55:11,2021-04-07 16:26:03,13.0,15.0,10.0,133,193.0,2020-08-04 00:22:05,0.1.2,,,3.0,Sensible extensions for exposing torch in Julia.,,,12.0,11,False,3,,,
80,JuliaML/MLDataUtils.jl,JuliaML/MLDataUtils.jl,data-loading,https://github.com/JuliaML/MLDataUtils.jl,https://github.com/JuliaML/MLDataUtils.jl,,2016-02-12 21:17:27,2021-04-25 12:03:13,2021-04-25 12:03:13,17.0,12.0,22.0,79,185.0,2021-04-24 05:18:30,0.5.4,,,9.0,"Utility package for generating, loading, splitting, and processing Machine Learning datasets.",,,15.0,11,False,3,,,
81,WordTokenizers.jl,JuliaText/WordTokenizers.jl,nlp,https://github.com/JuliaText/WordTokenizers.jl,https://github.com/JuliaText/WordTokenizers.jl,,2018-04-10 12:29:17,2021-04-10 12:40:02,2021-01-17 10:00:44,23.0,6.0,10.0,72,258.0,2020-08-27 12:17:05,0.5.6,,,13.0,High performance tokenizers for natural language processing and other related tasks.,,,17.0,11,False,2,,,
82,ManifoldLearning.jl,wildart/ManifoldLearning.jl,ml-frameworks,https://github.com/wildart/ManifoldLearning.jl,https://github.com/wildart/ManifoldLearning.jl,,2014-07-19 03:30:31,2021-05-31 20:03:34,2021-05-31 20:01:12,15.0,,15.0,61,43.0,2021-02-10 01:33:10,0.6.2,,,4.0,A Julia package for manifold learning and nonlinear dimensionality reduction.,,,3.0,11,False,3,,,
83,Loess.jl,JuliaStats/Loess.jl,ml-frameworks,https://github.com/JuliaStats/Loess.jl,https://github.com/JuliaStats/Loess.jl,,2013-09-14 00:00:30,2021-03-13 09:59:21,2021-01-20 10:13:09,24.0,5.0,15.0,56,77.0,2020-12-15 09:17:05,0.5.3,,,7.0,"Local regression, so smooooth!.",,,23.0,11,False,3,-2.0,,
84,Embeddings.jl,JuliaText/Embeddings.jl,nlp,https://github.com/JuliaText/Embeddings.jl,https://github.com/JuliaText/Embeddings.jl,MIT,2018-06-06 07:50:20,2020-02-14 20:56:27,2020-02-14 20:56:26,13.0,6.0,9.0,55,89.0,2020-02-09 00:06:15,0.4.2,,,7.0,"Functions and data dependencies for loading various word embeddings (Word2Vec, FastText, GLoVE).",,,7.0,11,False,2,,,
85,ROCAnalysis.jl,davidavdav/ROCAnalysis.jl,ml-frameworks,https://github.com/davidavdav/ROCAnalysis.jl,https://github.com/davidavdav/ROCAnalysis.jl,,2014-03-13 08:23:30,2021-06-12 10:26:21,2021-06-12 10:15:03,7.0,3.0,8.0,25,130.0,2021-04-07 09:17:37,0.3.2,,,3.0,Receiver Operating Characteristics and functions for evaluation probabilistic binary classifiers.,,,7.0,11,False,3,,,
86,CorpusLoaders.jl,JuliaText/CorpusLoaders.jl,data-loading,https://github.com/JuliaText/CorpusLoaders.jl,https://github.com/JuliaText/CorpusLoaders.jl,,2016-08-26 08:02:52,2021-05-20 17:28:47,2021-05-20 17:28:47,9.0,8.0,11.0,22,222.0,2020-01-04 09:45:51,0.3.1,,,3.0,A variety of loaders for various NLP corpora.,,,12.0,11,False,3,,,
87,cscherrer/SossMLJ.jl,cscherrer/SossMLJ.jl,probabilistics,https://github.com/cscherrer/SossMLJ.jl,https://github.com/cscherrer/SossMLJ.jl,MIT,2019-10-29 19:33:19,2021-06-03 00:20:50,2021-04-13 17:26:26,2.0,12.0,38.0,13,86.0,2021-04-13 17:41:12,0.3.0,,,3.0,SossMLJ makes it easy to build MLJ machines from user-defined models from the Soss probabilistic programming language.,,,4.0,11,False,3,,,
88,BeautifulAlgorithms.jl,mossr/BeautifulAlgorithms.jl,ml-frameworks,https://github.com/mossr/BeautifulAlgorithms.jl,https://github.com/mossr/BeautifulAlgorithms.jl,,2020-09-15 19:58:22,2021-06-17 22:24:06,2021-05-17 00:58:25,35.0,3.0,2.0,717,85.0,,,,,,Concise and beautiful algorithms written in Julia.,,,,10,False,3,,,True
89,ONNX.jl,FluxML/ONNX.jl,ml-frameworks,https://github.com/FluxML/ONNX.jl,https://github.com/FluxML/ONNX.jl,,2018-02-09 13:53:32,2021-04-12 17:31:08,2021-04-12 17:31:08,15.0,23.0,15.0,81,164.0,2019-06-25 12:46:51,0.1.1,,,2.0,Read ONNX graphs in Julia.,,,9.0,10,False,3,,,
90,lathe,bhattlab/lathe,ml-frameworks,https://github.com/bhattlab/lathe,https://github.com/bhattlab/lathe,MIT,2019-03-20 18:12:38,2021-02-10 03:18:37,2021-02-10 03:18:33,12.0,12.0,5.0,45,283.0,,,,,,A tool for generating bacterial genomes from metagenomes with nanopore long read sequencing.,,,5.0,10,False,3,,,
91,TextModels.jl,JuliaText/TextModels.jl,nlp,https://github.com/JuliaText/TextModels.jl,https://github.com/JuliaText/TextModels.jl,,2020-09-04 20:10:47,2021-07-18 16:17:15,2021-07-18 16:17:15,11.0,5.0,3.0,9,360.0,2020-11-01 22:45:50,0.1.0,,,1.0,Neural Network based models for Natural Language Processing.,,,27.0,10,False,3,,,
92,BytePairEncoding.jl,chengchingwen/BytePairEncoding.jl,nlp,https://github.com/chengchingwen/BytePairEncoding.jl,https://github.com/chengchingwen/BytePairEncoding.jl,MIT,2018-12-03 13:06:41,2021-04-09 04:13:59,2021-04-09 04:13:54,2.0,,2.0,3,72.0,2021-04-08 20:39:49,0.2.0,,,3.0,Julia implementation of Byte Pair Encoding for NLP.,,,,10,False,3,,,
93,Word2Vec.jl,JuliaText/Word2Vec.jl,nlp,https://github.com/JuliaText/Word2Vec.jl,https://github.com/JuliaText/Word2Vec.jl,,2015-09-03 21:49:18,2020-11-30 22:30:04,2020-11-30 20:47:55,11.0,4.0,8.0,54,97.0,2020-11-30 22:30:05,0.5.3,,,4.0,Julia interface to word2vec.,,,7.0,9,False,3,,,
94,MLDataPattern.jl,JuliaML/MLDataPattern.jl,data-loading,https://github.com/JuliaML/MLDataPattern.jl,https://github.com/JuliaML/MLDataPattern.jl,,2017-03-31 11:44:53,2021-02-11 19:17:10,2020-11-30 06:27:20,11.0,13.0,14.0,41,135.0,2020-10-30 13:11:51,0.5.4,,,12.0,"Utility package for subsetting, resampling, iteration, and partitioning of various types of data sets in Machine..",,,13.0,9,False,3,,,
95,Languages.jl,JuliaText/Languages.jl,nlp,https://github.com/JuliaText/Languages.jl,https://github.com/JuliaText/Languages.jl,,2012-12-21 04:07:57,2021-03-31 18:19:09,2021-03-31 18:19:08,19.0,2.0,7.0,36,102.0,2020-04-08 22:11:29,0.4.3,,,6.0,A package for working with human languages.,,,16.0,9,False,3,,,
96,WordNet.jl,JuliaText/WordNet.jl,nlp,https://github.com/JuliaText/WordNet.jl,https://github.com/JuliaText/WordNet.jl,,2015-09-21 22:18:44,2020-02-08 17:36:15,2020-02-08 17:36:13,8.0,2.0,4.0,25,75.0,2019-03-01 17:34:47,0.2.2,,,3.0,A Julia package for Princeton's WordNet.,,,11.0,9,False,3,,,
97,DiscriminantAnalysis.jl,trthatcher/DiscriminantAnalysis.jl,ml-frameworks,https://github.com/trthatcher/DiscriminantAnalysis.jl,https://github.com/trthatcher/DiscriminantAnalysis.jl,MIT,2013-10-08 03:48:09,2021-01-10 00:58:12,2021-01-10 00:57:58,5.0,5.0,4.0,8,216.0,,,,,,Regularized discriminant analysis in Julia.,,,7.0,9,False,3,,,
98,TopicModels.jl,slycoder/TopicModels.jl,nlp,https://github.com/slycoder/TopicModels.jl,https://github.com/slycoder/TopicModels.jl,MIT,2013-03-17 03:32:26,2020-05-31 01:53:24,2020-05-31 01:53:23,15.0,,4.0,32,14.0,,,,,,TopicModels for Julia.,,,6.0,8,False,3,,,
99,TimeSeriesClassification.jl,alan-turing-institute/TimeSeriesClassification.jl,ml-frameworks,https://github.com/alan-turing-institute/TimeSeriesClassification.jl,https://github.com/alan-turing-institute/TimeSeriesClassification.jl,MIT,2020-05-06 16:20:21,2020-12-01 15:36:57,2020-12-01 15:36:48,4.0,6.0,1.0,19,103.0,,,,,,Machine Learning with Time Series in Julia.,,,7.0,8,False,3,,,
100,OpenAIGym.jl,JuliaML/OpenAIGym.jl,ml-frameworks,https://github.com/JuliaML/OpenAIGym.jl,https://github.com/JuliaML/OpenAIGym.jl,,2016-04-30 01:01:35,2020-07-21 05:30:41,2020-07-21 05:30:40,20.0,10.0,9.0,85,83.0,,,,,,OpenAI's Gym binding for Julia.,,,12.0,7,False,3,,,
101,DistributedReinforcementLearning.jl,JuliaReinforcementLearning/DistributedReinforcementLearning.jl,others,https://github.com/JuliaReinforcementLearning/DistributedReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/DistributedReinforcementLearning.jl,MIT,2020-10-29 15:21:52,2020-12-19 00:25:16,2020-11-22 05:41:36,2.0,,1.0,5,19.0,2020-11-26 00:21:54,0.1.0,,,1.0,"If it works, it works everywhere!.",,,,7,False,3,,,
102,Snowball.jl,JuliaText/Snowball.jl,nlp,https://github.com/JuliaText/Snowball.jl,https://github.com/JuliaText/Snowball.jl,MIT,2020-03-24 17:21:51,2020-11-17 20:55:14,2020-11-17 20:53:33,,,,1,15.0,2020-09-06 23:51:55,0.1.0,,,1.0,Snowball stemming algorithms.,,,2.0,5,False,3,,,
