,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,new_addition
69,NMF.jl,JuliaStats/NMF.jl,ml-frameworks,https://github.com/JuliaStats/NMF.jl,https://github.com/JuliaStats/NMF.jl,,2014-02-08 15:25:09,2021-03-13 05:06:56,2021-03-13 03:53:51,28.0,2.0,24.0,69,87,2021-03-13 05:06:56,0.5.1,,,6.0,A Julia package for non-negative matrix factorization.,,,12.0,12,False,3,
70,ReadStat.jl,queryverse/ReadStat.jl,probabilistics,https://github.com/queryverse/ReadStat.jl,https://github.com/queryverse/ReadStat.jl,MIT,2013-12-01 21:59:46,2020-08-22 04:38:03,2020-08-22 04:36:49,12.0,7.0,20.0,65,159,2020-01-06 19:03:32,1.0.2,,,9.0,"Read files from Stata, SAS, and SPSS.",,,9.0,12,False,3,
71,JLBoost.jl,xiaodaigh/JLBoost.jl,ml-frameworks,https://github.com/xiaodaigh/JLBoost.jl,https://github.com/xiaodaigh/JLBoost.jl,MIT,2018-09-27 06:29:18,2020-11-28 11:08:40,2020-11-28 10:01:16,2.0,13.0,8.0,61,159,2020-11-28 11:08:40,0.1.16,,,17.0,A 100%-Julia implementation of Gradient-Boosting Regression Tree algorithms.,,,4.0,12,False,3,
72,WordTokenizers.jl,JuliaText/WordTokenizers.jl,nlp,https://github.com/JuliaText/WordTokenizers.jl,https://github.com/JuliaText/WordTokenizers.jl,,2018-04-10 12:29:17,2021-01-17 10:00:45,2021-01-17 10:00:44,22.0,6.0,10.0,59,258,2020-08-27 12:17:05,0.5.6,,,13.0,High performance tokenizers for natural language processing and other related tasks.,,,17.0,12,False,2,
73,CausalInference.jl,mschauer/CausalInference.jl,ml-frameworks,https://github.com/mschauer/CausalInference.jl,https://github.com/mschauer/CausalInference.jl,,2017-08-01 11:52:26,2021-03-10 22:16:30,2021-03-10 22:12:10,14.0,4.0,8.0,59,215,2020-12-16 13:06:17,0.5.6,,,9.0,"Causal inference, graphical models and structure learning with the PC algorithm.",,,6.0,12,False,3,True
74,DiffEqParamEstim.jl,SciML/DiffEqParamEstim.jl,ml-frameworks,https://github.com/SciML/DiffEqParamEstim.jl,https://github.com/SciML/DiffEqParamEstim.jl,,2016-10-28 11:33:04,2021-02-06 07:28:12,2021-02-06 06:57:36,20.0,15.0,53.0,33,522,2021-02-06 07:17:25,1.20.1,,,42.0,Easy scientific machine learning (SciML) parameter estimation with pre-built loss functions.,,,18.0,12,False,3,True
75,Fairness.jl,ashryaagr/Fairness.jl,interpretability,https://github.com/ashryaagr/Fairness.jl,https://github.com/ashryaagr/Fairness.jl,MIT,2020-05-21 18:10:23,2021-02-09 00:33:36,2021-01-29 07:35:11,7.0,7.0,1.0,16,116,2021-01-12 16:47:54,0.3.0,,,6.0,Julia Toolkit with fairness metrics and bias mitigation algorithms.,,,6.0,12,False,1,True
76,AdaGram.jl,sbos/AdaGram.jl,nlp,https://github.com/sbos/AdaGram.jl,https://github.com/sbos/AdaGram.jl,MIT,2015-03-01 19:58:59,2019-11-20 03:48:04,2019-11-20 03:39:12,37.0,14.0,18.0,156,116,,,,,,Adaptive Skip-gram implementation in Julia.,,,8.0,11,False,2,
77,Torch.jl,FluxML/Torch.jl,ml-frameworks,https://github.com/FluxML/Torch.jl,https://github.com/FluxML/Torch.jl,,2020-02-04 09:11:22,2021-01-23 16:38:09,2021-01-09 07:26:10,13.0,13.0,10.0,121,192,2020-08-04 00:22:05,0.1.2,,,3.0,Sensible extensions for exposing torch in Julia.,,,12.0,11,False,3,
78,Augmentor.jl,Evizero/Augmentor.jl,image,https://github.com/Evizero/Augmentor.jl,https://github.com/Evizero/Augmentor.jl,,2017-05-04 13:13:15,2020-11-28 00:38:09,2020-11-18 11:17:27,30.0,20.0,17.0,95,191,2020-09-17 17:04:26,0.6.2,,,11.0,A fast image augmentation library in Julia for machine learning.,,,3.0,11,False,3,
79,ONNX.jl,FluxML/ONNX.jl,ml-frameworks,https://github.com/FluxML/ONNX.jl,https://github.com/FluxML/ONNX.jl,,2018-02-09 13:53:32,2021-03-03 22:20:06,2020-08-24 07:54:33,14.0,22.0,15.0,76,158,2019-06-25 12:46:51,0.1.1,,,2.0,Read ONNX graphs in Julia.,,,7.0,11,False,3,
80,GLMNet.jl,JuliaStats/GLMNet.jl,probabilistics,https://github.com/JuliaStats/GLMNet.jl,https://github.com/JuliaStats/GLMNet.jl,,2013-11-19 04:41:43,2020-12-30 17:20:55,2020-12-30 17:20:53,24.0,5.0,20.0,72,102,2020-12-07 21:42:10,0.6.1,,,10.0,Julia wrapper for fitting Lasso/ElasticNet GLM models using glmnet.,,,13.0,11,False,3,
81,ManifoldLearning.jl,wildart/ManifoldLearning.jl,ml-frameworks,https://github.com/wildart/ManifoldLearning.jl,https://github.com/wildart/ManifoldLearning.jl,,2014-07-19 03:30:31,2021-02-10 01:33:10,2021-02-10 00:52:15,15.0,,15.0,56,42,2021-02-10 01:33:10,0.6.2,,,4.0,A Julia package for manifold learning and nonlinear dimensionality reduction.,,,3.0,11,False,3,
82,Embeddings.jl,JuliaText/Embeddings.jl,nlp,https://github.com/JuliaText/Embeddings.jl,https://github.com/JuliaText/Embeddings.jl,MIT,2018-06-06 07:50:20,2020-02-14 20:56:27,2020-02-14 20:56:26,12.0,5.0,9.0,49,89,2020-02-09 00:06:15,0.4.2,,,7.0,"Functions and data dependencies for loading various word embeddings (Word2Vec, FastText, GLoVE).",,,7.0,11,False,2,
83,lathe,bhattlab/lathe,ml-frameworks,https://github.com/bhattlab/lathe,https://github.com/bhattlab/lathe,MIT,2019-03-20 18:12:38,2021-02-10 03:18:37,2021-02-10 03:18:33,11.0,8.0,5.0,40,283,,,,,,A tool for generating bacterial genomes from metagenomes with nanopore long read sequencing.,,,5.0,11,False,3,
84,MLDataPattern.jl,JuliaML/MLDataPattern.jl,data-loading,https://github.com/JuliaML/MLDataPattern.jl,https://github.com/JuliaML/MLDataPattern.jl,,2017-03-31 11:44:53,2021-02-11 19:17:10,2020-11-30 06:27:20,10.0,12.0,14.0,40,135,2020-10-30 13:11:51,0.5.4,,,12.0,"Utility package for subsetting, resampling, iteration, and partitioning of various types of data sets in Machine..",,,13.0,11,False,3,True
85,TextModels.jl,JuliaText/TextModels.jl,nlp,https://github.com/JuliaText/TextModels.jl,https://github.com/JuliaText/TextModels.jl,,2020-09-04 20:10:47,2021-01-08 15:17:34,2020-11-17 20:49:28,4.0,4.0,1.0,4,336,2020-11-01 22:45:50,0.1.0,,,1.0,Neural Network based models for Natural Language Processing.,,,24.0,11,False,2,
86,DataAugmentation.jl,lorenzoh/DataAugmentation.jl,data-loading,https://github.com/lorenzoh/DataAugmentation.jl,https://github.com/lorenzoh/DataAugmentation.jl,MIT,2020-03-27 13:44:36,2021-03-08 11:06:39,2021-03-08 10:30:11,2.0,,1.0,4,99,2021-03-08 11:06:40,0.1.2,,,3.0,Flexible data augmentation library for machine and deep learning.,,,3.0,11,False,3,True
87,FastAI.jl,FluxML/FastAI.jl,ml-frameworks,https://github.com/FluxML/FastAI.jl,https://github.com/FluxML/FastAI.jl,MIT,2020-05-20 23:06:49,2021-03-14 13:57:05,2021-03-13 17:25:05,14.0,,5.0,127,115,,,,,,"Repository of best practices for deep learning in Julia, inspired by fastai.",,,9.0,10,True,3,True
88,Word2Vec.jl,JuliaText/Word2Vec.jl,nlp,https://github.com/JuliaText/Word2Vec.jl,https://github.com/JuliaText/Word2Vec.jl,,2015-09-03 21:49:18,2020-11-30 22:30:04,2020-11-30 20:47:55,11.0,4.0,8.0,49,97,2020-11-30 22:30:05,0.5.3,,,4.0,Julia interface to word2vec.,,,7.0,10,False,3,
89,Languages.jl,JuliaText/Languages.jl,nlp,https://github.com/JuliaText/Languages.jl,https://github.com/JuliaText/Languages.jl,,2012-12-21 04:07:57,2021-02-24 20:28:49,2021-02-24 20:28:49,18.0,2.0,7.0,33,97,2020-04-08 22:11:29,0.4.3,,,6.0,A package for working with human languages.,,,15.0,10,False,3,
90,ROCAnalysis.jl,davidavdav/ROCAnalysis.jl,ml-frameworks,https://github.com/davidavdav/ROCAnalysis.jl,https://github.com/davidavdav/ROCAnalysis.jl,,2014-03-13 08:23:30,2021-02-22 09:38:56,2021-02-22 09:38:56,7.0,3.0,4.0,23,120,2020-02-04 15:40:55,0.3.1,,,2.0,Receiver Operating Characteristics and functions for evaluation probabilistic binary classifiers.,,,5.0,10,False,3,
91,DiscriminantAnalysis.jl,trthatcher/DiscriminantAnalysis.jl,ml-frameworks,https://github.com/trthatcher/DiscriminantAnalysis.jl,https://github.com/trthatcher/DiscriminantAnalysis.jl,MIT,2013-10-08 03:48:09,2021-01-10 00:58:12,2021-01-10 00:57:58,6.0,5.0,4.0,7,216,,,,,,Regularized discriminant analysis in Julia.,,,7.0,10,False,3,
92,WordNet.jl,JuliaText/WordNet.jl,nlp,https://github.com/JuliaText/WordNet.jl,https://github.com/JuliaText/WordNet.jl,,2015-09-21 22:18:44,2020-02-08 17:36:15,2020-02-08 17:36:13,8.0,2.0,4.0,21,75,2019-03-01 17:34:47,0.2.2,,,3.0,A Julia package for Princeton's WordNet.,,,11.0,9,False,3,
93,CorpusLoaders.jl,JuliaText/CorpusLoaders.jl,data-loading,https://github.com/JuliaText/CorpusLoaders.jl,https://github.com/JuliaText/CorpusLoaders.jl,,2016-08-26 08:02:52,2020-04-01 10:28:25,2020-04-01 10:28:24,8.0,8.0,9.0,20,206,2020-01-04 09:45:51,0.3.1,,,3.0,A variety of loaders for various NLP corpora.,,,10.0,9,False,3,
94,BytePairEncoding.jl,chengchingwen/BytePairEncoding.jl,nlp,https://github.com/chengchingwen/BytePairEncoding.jl,https://github.com/chengchingwen/BytePairEncoding.jl,MIT,2018-12-03 13:06:41,2020-02-08 14:41:20,2019-05-09 16:51:35,2.0,1.0,,3,36,2018-12-11 10:10:58,0.1.1,,,2.0,Julia implementation of Byte Pair Encoding for NLP.,,,,9,False,3,
95,TopicModels.jl,slycoder/TopicModels.jl,nlp,https://github.com/slycoder/TopicModels.jl,https://github.com/slycoder/TopicModels.jl,MIT,2013-03-17 03:32:26,2020-05-31 01:53:24,2020-05-31 01:53:23,14.0,,4.0,31,14,,,,,,TopicModels for Julia.,,,6.0,8,False,3,
96,TimeSeriesClassification.jl,alan-turing-institute/TimeSeriesClassification.jl,ml-frameworks,https://github.com/alan-turing-institute/TimeSeriesClassification.jl,https://github.com/alan-turing-institute/TimeSeriesClassification.jl,MIT,2020-05-06 16:20:21,2020-12-01 15:36:57,2020-12-01 15:36:48,4.0,5.0,1.0,19,103,,,,,,Machine Learning with Time Series in Julia.,,,7.0,8,False,3,
97,cscherrer/SossMLJ.jl,cscherrer/SossMLJ.jl,probabilistics,https://github.com/cscherrer/SossMLJ.jl,https://github.com/cscherrer/SossMLJ.jl,MIT,2019-10-29 19:33:19,2020-11-08 00:13:15,2020-09-15 23:13:24,1.0,12.0,37.0,7,82,2020-09-16 23:00:20,0.1.0,,,1.0,SossMLJ makes it easy to build MLJ machines from user-defined models from the Soss probabilistic programming language.,,,4.0,8,False,3,True
98,OpenAIGym.jl,JuliaML/OpenAIGym.jl,ml-frameworks,https://github.com/JuliaML/OpenAIGym.jl,https://github.com/JuliaML/OpenAIGym.jl,,2016-04-30 01:01:35,2020-07-21 05:30:41,2020-07-21 05:30:40,18.0,10.0,9.0,77,83,,,,,,OpenAI's Gym binding for Julia.,,,12.0,7,False,3,
99,DistributedReinforcementLearning.jl,JuliaReinforcementLearning/DistributedReinforcementLearning.jl,others,https://github.com/JuliaReinforcementLearning/DistributedReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/DistributedReinforcementLearning.jl,MIT,2020-10-29 15:21:52,2020-12-19 00:25:16,2020-11-22 05:41:36,1.0,,1.0,3,19,2020-11-26 00:21:54,0.1.0,,,1.0,"If it works, it works everywhere!.",,,,7,False,3,True
100,Snowball.jl,JuliaText/Snowball.jl,nlp,https://github.com/JuliaText/Snowball.jl,https://github.com/JuliaText/Snowball.jl,MIT,2020-03-24 17:21:51,2020-11-17 20:55:14,2020-11-17 20:53:33,,,,1,15,2020-09-06 23:51:55,0.1.0,,,1.0,Snowball stemming algorithms.,,,2.0,5,False,3,
